"Ethnie" "Sexe" "Niveau" "Nb_jours"
"A" "M" "B" 2
"A" "M" "B" 11
"A" "M" "B" 14
"A" "M" "A" 5
"A" "M" "A" 5
"A" "M" "A" 13
"A" "M" "A" 20
"A" "M" "A" 22
"A" "M" "B" 6
"A" "M" "B" 6
"A" "M" "B" 15
"A" "M" "A" 7
"A" "M" "A" 14
"A" "M" "B" 6
"A" "M" "B" 32
"A" "M" "B" 53
"A" "M" "B" 57
"A" "M" "A" 14
"A" "M" "A" 16
"A" "M" "A" 16
"A" "M" "A" 17
"A" "M" "A" 40
"A" "M" "A" 43
"A" "M" "A" 46
"A" "M" "A" 8
"A" "M" "A" 23
"A" "M" "A" 23
"A" "M" "A" 28
"A" "M" "A" 34
"A" "M" "A" 36
"A" "M" "A" 38
"A" "F" "B" 3
"A" "F" "A" 5
"A" "F" "A" 11
"A" "F" "A" 24
"A" "F" "A" 45
"A" "F" "B" 5
"A" "F" "B" 6
"A" "F" "B" 6
"A" "F" "B" 9
"A" "F" "B" 13
"A" "F" "B" 23
"A" "F" "B" 25
"A" "F" "B" 32
"A" "F" "B" 53
"A" "F" "B" 54
"A" "F" "A" 5
"A" "F" "A" 5
"A" "F" "A" 11
"A" "F" "A" 17
"A" "F" "A" 19
"A" "F" "B" 8
"A" "F" "B" 13
"A" "F" "B" 14
"A" "F" "B" 20
"A" "F" "B" 47
"A" "F" "B" 48
"A" "F" "B" 60
"A" "F" "B" 81
"A" "F" "A" 2
"A" "F" "A" 0
"A" "F" "A" 2
"A" "F" "A" 3
"A" "F" "A" 5
"A" "F" "A" 10
"A" "F" "A" 14
"A" "F" "A" 21
"A" "F" "A" 36
"A" "F" "A" 40
"N" "M" "B" 6
"N" "M" "B" 17
"N" "M" "B" 67
"N" "M" "A" 0
"N" "M" "A" 0
"N" "M" "A" 2
"N" "M" "A" 7
"N" "M" "A" 11
"N" "M" "A" 12
"N" "M" "B" 0
"N" "M" "B" 0
"N" "M" "B" 5
"N" "M" "B" 5
"N" "M" "B" 5
"N" "M" "B" 11
"N" "M" "B" 17
"N" "M" "A" 3
"N" "M" "A" 4
"N" "M" "B" 22
"N" "M" "B" 30
"N" "M" "B" 36
"N" "M" "A" 8
"N" "M" "A" 0
"N" "M" "A" 1
"N" "M" "A" 5
"N" "M" "A" 7
"N" "M" "A" 16
"N" "M" "A" 27
"N" "M" "A" 0
"N" "M" "A" 30
"N" "M" "A" 10
"N" "M" "A" 14
"N" "M" "A" 27
"N" "M" "A" 41
"N" "M" "A" 69
"N" "F" "B" 25
"N" "F" "A" 10
"N" "F" "A" 11
"N" "F" "A" 20
"N" "F" "A" 33
"N" "F" "B" 5
"N" "F" "B" 7
"N" "F" "B" 0
"N" "F" "B" 1
"N" "F" "B" 5
"N" "F" "B" 5
"N" "F" "B" 5
"N" "F" "B" 5
"N" "F" "B" 7
"N" "F" "B" 11
"N" "F" "B" 15
"N" "F" "A" 5
"N" "F" "A" 14
"N" "F" "A" 6
"N" "F" "A" 6
"N" "F" "A" 7
"N" "F" "A" 28
"N" "F" "B" 0
"N" "F" "B" 5
"N" "F" "B" 14
"N" "F" "B" 2
"N" "F" "B" 2
"N" "F" "B" 3
"N" "F" "B" 8
"N" "F" "B" 10
"N" "F" "B" 12
"N" "F" "A" 1
"N" "F" "A" 1
"N" "F" "A" 9
"N" "F" "A" 22
"N" "F" "A" 3
"N" "F" "A" 3
"N" "F" "A" 5
"N" "F" "A" 15
"N" "F" "A" 18
"N" "F" "A" 22
"N" "F" "A" 37
